timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2026-03-06T17:54:03,energy-efficiency,34e9ffd6-36e4-4896-b2ef-9bb6a55a24ac,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,212.4430803,0.000131128,6.17E-07,360,208.455159,10,0.021241226,0.011472366,0.000590032,0.033303624,0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1,0
2026-03-06T17:57:44,energy-efficiency,32f22dc2-0076-4226-bae5-0487302e1d08,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,193.7145178,0.000119535,6.17E-07,360,193.1850971,10,0.019367798,0.010453388,0.000537993,0.030359179,0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1,0
2026-03-06T18:15:46,energy-efficiency,c5487fb0-cc50-46db-b647-ae7e79193979,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,178.3896092,0.000110031,6.17E-07,360,191.7227325,10,0.017834467,0.009615469,0.000495401,0.027945336,0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N,1,0
,,,,194.8490691,0.000120231,6.17035E-07,360,197.7876629,10,0.019481164,0.010513741,0.000541142,0.030536046,0,,,,,,,,,,,,,,,,,,,
