task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Backward pass #1,2026-03-09T12:01:56,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,1.2546046860516071,6.449270466304922e-07,5.139017017093485e-07,360.0,99.93933661351507,10.0,0.0001254772789776325,3.483447230223646e-05,3.4852754738595756e-06,0.00016379702675372855,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,13,1530.3427734375,6920.0,0.4,4792.8984375,13.479793548583984,0.0078125
Backward pass #2,2026-03-09T12:01:57,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33454863354563713,2.1828386692015202e-07,6.524278088932025e-07,360.0,226.2875991887423,10.0,3.3470146358013155e-05,2.1039461273630877e-05,9.296061160663762e-07,5.5439213747710404e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3029.49755859375,8344.0,0.5,4856.75,13.534263610839844,0.0078125
Backward pass #3,2026-03-09T12:01:57,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33160874247550964,1.961504485483102e-07,5.912653706375761e-07,360.0,168.80362111042214,10.0,3.3285282924771316e-05,1.5608068039796308e-05,9.244701928562585e-07,4.9817821157423865e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3028.18505859375,8492.0,0.4,4857.71875,13.53365707397461,0.0078125
Backward pass #4,2026-03-09T12:01:58,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33308084309101105,1.9351756491968773e-07,5.813179732823013e-07,360.0,161.8482107113155,10.0,3.326773568987845e-05,1.4957511965008052e-05,9.238800240887539e-07,4.914912767897526e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,95,3028.18505859375,8492.0,0.4,4856.76953125,13.530994415283203,0.0078125
Backward pass #5,2026-03-09T12:01:58,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33392857387661934,2.1573462890350712e-07,6.463500324030242e-07,360.0,221.43494179046084,10.0,3.3350732922554e-05,2.0514738636734364e-05,9.262928221788675e-07,5.4791764381467245e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3028.18505859375,8492.0,0.4,4859.484375,13.531814575195312,0.0078125
Backward pass #6,2026-03-09T12:01:59,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.338980495929718,2.1612097132367234e-07,6.380984006872678e-07,360.0,222.8962279342299,10.0,3.332809545099737e-05,2.0636127601392218e-05,9.25663651691543e-07,5.4889886704081114e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4861.96875,13.531909942626953,0.0078125
Backward pass #7,2026-03-09T12:01:59,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3330378048121929,1.975009861876108e-07,5.927520891255228e-07,360.0,167.910752660094,10.0,3.357009366154669e-05,1.5658345844826727e-05,9.32387966248724e-07,5.0160827472622155e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,90,3028.18505859375,8492.0,0.5,4875.13671875,13.541999816894531,0.0078125
Backward pass #8,2026-03-09T12:02:00,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33342957496643066,1.9526147164080367e-07,5.850908752036046e-07,360.0,165.42503525129055,10.0,3.334344886243341e-05,1.532251224034553e-05,9.260798287060532e-07,4.959204093148503e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.4,4879.07421875,13.543540954589844,0.0078125
Backward pass #9,2026-03-09T12:02:00,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3331554979085922,2.1596891525879877e-07,6.481187303527045e-07,360.0,222.4167441291168,10.0,3.3331602811813375e-05,2.0593905375676513e-05,9.257596813970148e-07,5.485126786888687e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.4,4882.796875,13.54556655883789,0.0078125
Backward pass #10,2026-03-09T12:02:00,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3344474509358406,1.957255028047885e-07,5.854326989920363e-07,360.0,167.77008198509745,10.0,3.327702209353448e-05,1.5508623533833088e-05,9.242488278283014e-07,4.970989445519578e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,87,3028.18505859375,8492.0,0.4,4883.5234375,13.547481536865234,0.0078125
Backward pass #11,2026-03-09T12:02:01,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3338776268064976,1.9265210262025213e-07,5.771659508123448e-07,360.0,157.55378764468736,10.0,3.338868170976641e-05,1.4613345030056735e-05,9.272928970555471e-07,4.892931963687867e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4885.38671875,13.547103881835938,0.0078125
Backward pass #12,2026-03-09T12:02:01,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33505065739154816,2.1875949356754664e-07,6.528530624359701e-07,360.0,229.56877928561707,10.0,3.33595708012581e-05,2.1273905886687317e-05,9.265355765819555e-07,5.5560012264527356e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4887.8828125,13.547080993652344,0.0078125
Backward pass #13,2026-03-09T12:02:02,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3330622836947441,1.9266927824636845e-07,5.783186464169832e-07,360.0,158.6830094202893,10.0,3.332043960690501e-05,1.4687789516187877e-05,9.254527381724781e-07,4.8933681861265395e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,83,3028.18505859375,8492.0,0.5,4888.16015625,13.546943664550781,0.0078125
Backward pass #14,2026-03-09T12:02:02,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.337139293551445,1.9616980887407795e-07,5.82165120395603e-07,360.0,167.41830709160908,10.0,3.33743885159492e-05,1.552140130911539e-05,9.269484215312546e-07,4.982273824659584e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.4,4893.38671875,13.546577453613281,0.0078125
Backward pass #15,2026-03-09T12:02:03,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33338744938373566,1.959766931831827e-07,5.87754186030376e-07,360.0,167.27829434724305,10.0,3.3350175991654434e-05,1.5497234613803812e-05,9.262805804610267e-07,4.977369118591929e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4893.84765625,13.54849624633789,0.0078125
Backward pass #16,2026-03-09T12:02:03,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33565378934144974,2.1108372035159766e-07,6.288271475700165e-07,360.0,209.64475287594743,10.0,3.3295486494898754e-05,1.939029328923425e-05,9.247579818798444e-07,5.361053776601287e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3028.18505859375,8492.0,0.4,4896.01171875,13.548233032226562,0.0078125
Backward pass #17,2026-03-09T12:02:04,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33331168442964554,1.9420709301855508e-07,5.82476375731512e-07,360.0,162.59097944335335,10.0,3.3339914679527283e-05,1.5058345368856862e-05,9.259923257761517e-07,4.93242523741602e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4907.65625,13.557239532470703,0.0078125
Backward pass #18,2026-03-09T12:02:04,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33569397777318954,1.9314394985933777e-07,5.751604290380194e-07,360.0,159.04977333952854,10.0,3.337935693562032e-05,1.4747789577995718e-05,9.270913071102556e-07,4.90542378207262e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,96,3028.18505859375,8492.0,0.4,4909.28125,13.55685806274414,0.0078125
Backward pass #19,2026-03-09T12:02:05,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3337826617062092,2.1131044107255522e-07,6.328327325523472e-07,360.0,208.30342722833768,10.0,3.340853638947013e-05,1.9331682125312e-05,9.279012369612865e-07,5.366811975174345e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3028.18505859375,8492.0,0.4,4923.17578125,13.565864562988281,0.0078125
Backward pass #20,2026-03-09T12:02:05,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.335895337164402,1.903998472443621e-07,5.667090648297618e-07,360.0,152.34986348788402,10.0,3.332719728350636e-05,1.4104455729579968e-05,9.256441973977626e-07,4.835729721048426e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4929.10546875,13.569087982177734,0.0078125
Backward pass #21,2026-03-09T12:02:06,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33389143645763397,1.9827121917745697e-07,5.9349843619014e-07,360.0,172.33878573181696,10.0,3.342583775520322e-05,1.600223504283349e-05,9.28376604699427e-07,5.0356449402736043e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,96,3028.18505859375,8492.0,0.4,4931.625,13.571487426757812,0.0078125
Backward pass #22,2026-03-09T12:02:06,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3354940041899681,2.259711097556713e-07,6.734561178184996e-07,360.0,246.6763803508609,10.0,3.350327350199226e-05,2.2957796147693443e-05,9.305316230489135e-07,5.739160127273446e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3028.18505859375,8492.0,0.4,4934.734375,13.572547912597656,0.0078125
Backward pass #23,2026-03-09T12:02:07,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3346957713365555,1.9828109766506635e-07,5.923437911397159e-07,360.0,171.49453195069793,10.0,3.347962461411954e-05,1.59494571931873e-05,9.298765100538729e-07,5.035895831736071e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.5,4946.6015625,13.581554412841797,0.0078125
Backward pass #24,2026-03-09T12:02:07,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33617113530635834,1.9878909182841266e-07,5.912721671939602e-07,360.0,171.24119418195752,10.0,3.358110934495928e-05,1.597417943344226e-05,9.326886799600378e-07,5.048797745836153e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,95,3028.18505859375,8492.0,0.5,4946.32421875,13.578765869140625,0.0078125
Backward pass #25,2026-03-09T12:02:08,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3335181884467602,2.0030919489495353e-07,6.010275091028322e-07,360.0,169.578903484427,10.0,3.394214846193786e-05,1.598917945955236e-05,9.427216731839726e-07,5.08740495946743e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,96,3028.18505859375,8492.0,0.4,4946.828125,13.580924987792969,0.0078125
Backward pass #26,2026-03-09T12:02:08,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33622897416353226,2.1937217299138878e-07,6.518159160666385e-07,360.0,225.6731620537742,10.0,3.3671351894736315e-05,2.110918356379443e-05,9.35083658744893e-07,5.5715619117275694e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.4,4948.828125,13.58071517944336,0.0078125
Backward pass #27,2026-03-09T12:02:08,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.3363679051399231,1.9943691086439416e-07,5.928544140420348e-07,360.0,172.0158412829367,10.0,3.364228047430509e-05,1.607584619023328e-05,9.343823211060634e-07,5.0652508985644636e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,86,3028.18505859375,8492.0,0.4,4960.17578125,13.59097671508789,0.0078125
Backward pass #28,2026-03-09T12:02:09,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.335845947265625,1.994208951064147e-07,5.941590296462359e-07,360.0,170.40086957544932,10.0,3.374020159244541e-05,1.5971123872304815e-05,9.371158770389023e-07,5.064844134178921e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3028.18505859375,8492.0,0.4,4971.70703125,13.599853515625,0.0078125
Backward pass #29,2026-03-09T12:02:09,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33611007034778595,2.1982549236638213e-07,6.539079150586221e-07,360.0,227.50012007192373,10.0,3.3638125658035306e-05,2.125835032984469e-05,9.342760985924123e-07,5.583075208647251e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,98,3028.18505859375,8492.0,0.4,4976.13671875,13.599727630615234,0.0078125
Backward pass #30,2026-03-09T12:02:10,energy-efficiency,e359593b-8bee-4ba3-8d48-cd41f029484d,0.33678949996829033,2.163192076231154e-07,6.420955754841647e-07,360.0,217.83758135280797,10.0,3.36457293480634e-05,2.0360016279141746e-05,9.34488657448027e-07,5.494023428465316e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,78,3028.18505859375,8492.0,0.4,4978.39453125,13.60030746459961,0.0078125
