task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Step #1,2026-03-31T21:58:31,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,2.786746595054865,1.3992443075984504e-06,5.020370765750371e-07,360.0,88.7515231680694,10.0,0.0002788774918764829,6.875283277452127e-05,7.746393512934447e-06,0.00035537671816393866,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,2,3021.80908203125,6948.0,0.9,1630.2265625,18.672927856445312,0.015625
Step #2,2026-03-31T21:58:32,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.45873257517814636,2.8626850953377065e-07,6.237760157788808e-07,360.0,200.42227641192628,10.0,4.5884943753480905e-05,2.554640933283281e-05,1.2744373745388454e-06,7.270579046085254e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,99,3020.30908203125,8344.0,0.9,1680.859375,18.721057891845703,0.015625
Step #3,2026-03-31T21:58:32,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.45689915493130684,2.851672421776027e-07,6.242645727904477e-07,360.0,200.8684109365464,10.0,4.567279592156408e-05,2.5484742607773114e-05,1.2685546858443147e-06,7.24260932151815e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,99,3018.99658203125,8492.0,1.0,1682.71875,18.72081756591797,0.015625
Step #4,2026-03-31T21:58:33,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.4591614119708538,2.7665725380563853e-07,6.025407129329103e-07,360.0,182.19534464605033,10.0,4.580824598670008e-05,2.3184185209856878e-05,1.2723155526651277e-06,7.026474674922203e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,97,3018.99658203125,8492.0,0.8,1684.69921875,18.720714569091797,0.015625
Step #5,2026-03-31T21:58:33,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.45742107182741165,2.715188886878028e-07,5.936458889973579e-07,360.0,172.90090733948065,10.0,4.572713077068331e-05,2.196251756458878e-05,1.2700687473018963e-06,6.895971708257393e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,99,3018.99658203125,8492.0,0.8,1695.59375,18.730087280273438,0.015625
Step #6,2026-03-31T21:58:34,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.45907112210989,2.687353477636426e-07,5.854050166302503e-07,360.0,165.6133423400717,10.0,4.5874150842428177e-05,2.110446132519428e-05,1.2741478573944832e-06,6.825276002501697e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,86,3018.99658203125,8492.0,1.0,1697.91015625,18.729846954345703,0.015625
Step #7,2026-03-31T21:58:34,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.4599522836506367,2.661461737292623e-07,5.787715326542718e-07,360.0,159.37157253814138,10.0,4.5967864990234335e-05,2.035057183036315e-05,1.2767309840354642e-06,6.759516780463297e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,99,3018.99658203125,8492.0,0.9,1699.71875,18.729984283447266,0.015625
Step #8,2026-03-31T21:58:35,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.45996633544564247,2.849521567128086e-07,6.195856326431226e-07,360.0,196.7709574013604,10.0,4.596829414367672e-05,2.512640901386476e-05,1.2767631664044335e-06,7.237146632394593e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,77,3018.99658203125,8492.0,0.8,1701.6328125,18.729984283447266,0.015625
Step #9,2026-03-31T21:58:36,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.46081627532839775,2.846164592735805e-07,6.176515399224671e-07,360.0,194.9372566127527,10.0,4.606317915022368e-05,2.4943631061091764e-05,1.2793964809841582e-06,7.228620669229963e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,99,3018.99658203125,8492.0,0.9,1702.68359375,18.729984283447266,0.015625
Step #10,2026-03-31T21:58:36,energy-efficiency,ef3085a6-8d69-4d2a-9fc1-a8bd0caa0e3b,0.4600217454135418,2.8231480922644544e-07,6.136413648720382e-07,360.0,191.21316087596594,10.0,4.5993864536285367e-05,2.4430297315802818e-05,1.2774772735105636e-06,7.170163912559888e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3018.99658203125,8492.0,0.9,1704.8515625,18.729881286621094,0.015625
