task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud,gpu_util_pct,gpu_active_mem_mb,gpu_reserved_mem_mb,cpu_util_pct,process_ram_res_mb,system_ram_gb,disk_read_mb
Optimisation step #1,2026-03-09T20:59:18,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.1014227643609047,5.5980578104939356e-08,5.503727402496017e-07,360.0,130.45518860101765,10.0,1.0226978361606597e-05,3.7069474245754463e-06,2.8388737183478144e-07,1.4217813158016826e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,22,3034.8095703125,12398.0,0.5,5110.6171875,13.83612060546875,0.01953125
Optimisation step #2,2026-03-09T20:59:18,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06667247414588928,4.609668028468494e-08,6.862987373731101e-07,360.0,241.229960216685,10.0,6.894994527101516e-06,4.621114811698135e-06,1.9141512198580636e-07,1.1707524460785457e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3036.43505859375,13544.0,0.5,5113.28515625,13.835140228271484,0.01953125
Optimisation step #3,2026-03-09T20:59:19,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06696299090981483,2.7868403604149017e-08,4.1484247515735485e-07,360.0,0.0,10.0,6.886764615774153e-06,0.0,1.9118578897582163e-07,7.07795040474998e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3042.87255859375,13986.0,0.4,5118.296875,13.836872100830078,0.01953125
Optimisation step #4,2026-03-09T20:59:20,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.066284891217947,2.74133131175465e-08,4.098927878916962e-07,360.0,0.0,10.0,6.774309277534484e-06,0.0,1.880583353340626e-07,6.962367612868544e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.5,5119.74609375,13.833984375,0.01953125
Optimisation step #5,2026-03-09T20:59:21,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06840937212109566,4.918745609799577e-08,7.166400112690538e-07,360.0,292.3689091201366,10.0,6.789057701826097e-06,5.515004403378043e-06,1.884501944813463e-07,1.249251229968549e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.5,5125.11328125,13.835739135742188,0.01953125
Optimisation step #6,2026-03-09T20:59:21,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06627306714653969,4.59893495635582e-08,6.913126711415811e-07,360.0,259.29481122327405,10.0,6.6814448684453985e-06,4.81333719903887e-06,1.8548279379804936e-07,1.1680264861282317e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.5,5126.875,13.83364486694336,0.01953125
Optimisation step #7,2026-03-09T20:59:22,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06632545962929726,4.536461503896975e-08,6.78870009993966e-07,360.0,247.5049696075491,10.0,6.716525182127951e-06,4.618614795504072e-06,1.8645630528529492e-07,1.1521596282917316e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.4,5149.67578125,13.85201644897461,0.01953125
Optimisation step #8,2026-03-09T20:59:23,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06658706814050674,2.7200090584584382e-08,4.0588034104402083e-07,360.0,0.0,10.0,6.7216154187917725e-06,0.0,1.8659844580623837e-07,6.90821386459801e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.4,5172.1484375,13.870628356933594,0.01953125
Optimisation step #9,2026-03-09T20:59:24,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06770158931612968,2.7166775509830665e-08,3.992522373940228e-07,360.0,0.0,10.0,6.713433936238289e-06,0.0,1.8631864546073806e-07,6.8997525816990294e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.5,5175.8828125,13.87070083618164,0.01953125
Optimisation step #10,2026-03-09T20:59:25,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06643123179674149,2.715432381877099e-08,4.0559345982460777e-07,360.0,0.0,10.0,6.710309162735934e-06,0.0,1.8628096828858054e-07,6.896590131024515e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.5,5184.14453125,13.874889373779297,0.01953125
Optimisation step #11,2026-03-09T20:59:25,energy-efficiency,62ca5a36-a09b-4fa8-b3ad-ef34970be55a,0.06660809367895126,4.720832991854189e-08,7.04602039061967e-07,360.0,268.61628196887085,10.0,6.758368015289309e-06,5.0438929264373655e-06,1.8759763075245769e-07,1.1989858572479127e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,4,machine,N,100,3041.24755859375,13986.0,0.4,5186.5859375,13.875957489013672,0.01953125
